step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
328,PAYMENT,10419.21,C156186519,11574.97,1155.76,M2123779774,0.0,0.0,0,0
24,CASH_OUT,288197.18,C1834394252,194116.48,0.0,C23587508,4914903.6,5203100.78,0,0
227,CASH_OUT,57061.21,C1235314178,0.0,0.0,C189010540,167665.55,224726.76,0,0
259,CASH_OUT,44836.3,C706006845,0.0,0.0,C1635266823,268731.96,313568.26,0,0
403,CASH_IN,84983.82,C1713507982,13208772.5,13293756.32,C946253710,6272500.22,6187516.4,0,0
179,CASH_IN,46839.62,C1009881342,1291854.86,1338694.48,C1407922992,3134096.55,3087256.93,0,0
264,PAYMENT,1344.61,C1171041035,0.0,0.0,M2034998808,0.0,0.0,0,0
275,PAYMENT,5183.75,C1831239314,1025.0,0.0,M673078568,0.0,0.0,0,0
236,CASH_OUT,131698.97,C731312056,0.0,0.0,C133256042,2523544.71,2655243.68,0,0
301,CASH_IN,92009.29,C824405890,109968.0,201977.29,C147147057,394129.11,302119.82,0,0
397,CASH_OUT,467398.15,C959196091,11677.0,0.0,C798174070,6890744.06,7358142.21,0,0
160,PAYMENT,12412.98,C439278856,20948.0,8535.02,M1124599145,0.0,0.0,0,0
234,PAYMENT,10509.86,C1912372452,0.0,0.0,M1376891239,0.0,0.0,0,0
231,CASH_IN,53315.3,C602223272,11205.0,64520.3,C355040612,650269.86,596954.56,0,0
44,CASH_OUT,109057.46,C1768820994,0.0,0.0,C1214412872,2206271.37,2315328.83,0,0
382,PAYMENT,4276.45,C1008667604,70.0,0.0,M924743873,0.0,0.0,0,0
40,PAYMENT,3705.32,C615875992,0.0,0.0,M1729263165,0.0,0.0,0,0
374,CASH_OUT,11750.95,C60418691,1054.0,0.0,C1885082082,0.0,11750.95,0,0
259,CASH_IN,166952.27,C1517681401,2677061.31,2844013.58,C625684910,301670.8,134718.53,0,0
281,CASH_OUT,296801.1,C549877701,0.0,0.0,C844324259,339912.78,636713.87,0,0
326,CASH_IN,402744.26,C1546478841,16234.0,418978.26,C1272165189,4845309.8,4442565.54,0,0
249,CASH_IN,64992.05,C1845194407,6223162.55,6288154.59,C112023229,3341384.99,3276392.94,0,0
358,CASH_IN,154751.98,C2133452528,9696985.65,9851737.63,C1407875576,1040855.2,886103.22,0,0
133,PAYMENT,24013.13,C908724450,96472.0,72458.87,M1460163477,0.0,0.0,0,0
255,CASH_IN,401710.81,C83377918,28795.0,430505.81,C2013749709,190245.5,0.0,0,0
251,PAYMENT,3218.79,C1225089218,0.0,0.0,M189567321,0.0,0.0,0,0
352,PAYMENT,16256.23,C1042810409,368516.0,352259.77,M988638196,0.0,0.0,0,0
185,CASH_IN,74514.51,C1412329050,365.0,74879.51,C543514664,1652539.33,1578024.82,0,0
208,CASH_OUT,144066.04,C633914436,7313.55,0.0,C1528968613,2300894.97,2444961.01,0,0
397,PAYMENT,29359.75,C7418799,0.0,0.0,M1966455542,0.0,0.0,0,0
203,CASH_OUT,453052.64,C581230864,15246.0,0.0,C1081935516,456408.32,1236976.21,0,0
306,CASH_OUT,192780.81,C1432883202,528854.79,336073.98,C957390065,8706402.56,8899183.36,0,0
181,CASH_IN,149619.65,C74910613,21369.0,170988.65,C243690966,0.0,0.0,0,0
281,CASH_OUT,517187.76,C577026581,0.0,0.0,C1156946432,764180.78,1281368.54,0,0
14,CASH_OUT,290188.39,C597592772,0.0,0.0,C33743015,879257.44,1169445.83,0,0
188,PAYMENT,11599.1,C904202880,40843.0,29243.9,M1527764596,0.0,0.0,0,0
230,CASH_OUT,53299.45,C23031332,8971.97,0.0,C440648832,623509.88,676809.33,0,0
135,PAYMENT,10236.85,C1842007599,0.0,0.0,M1017564192,0.0,0.0,0,0
235,CASH_IN,406683.5,C214268269,10844.0,417527.5,C944062084,523085.03,116401.54,0,0
225,PAYMENT,20958.42,C1695827586,31758.0,10799.58,M1423014151,0.0,0.0,0,0
185,CASH_OUT,63635.65,C61488930,0.0,0.0,C1758265849,10060599.43,10124235.08,0,0
394,CASH_OUT,126147.63,C1922569815,0.0,0.0,C1352012311,532340.54,658488.17,0,0
304,CASH_OUT,260960.91,C715483622,95.0,0.0,C1640582627,0.0,260960.91,0,0
299,CASH_OUT,398730.19,C1630770643,0.0,0.0,C1195891566,1260764.04,1659494.23,0,0
306,PAYMENT,9794.26,C928926898,877.0,0.0,M297032895,0.0,0.0,0,0
157,CASH_OUT,474120.02,C1102593973,10772.0,0.0,C1602029305,0.0,474120.02,0,0
185,CASH_IN,457281.12,C486863892,327736.07,785017.19,C1645396792,885228.62,427947.5,0,0
509,PAYMENT,7763.09,C575840578,6771.0,0.0,M658313520,0.0,0.0,0,0
132,CASH_OUT,144312.89,C1253454715,14593.29,0.0,C805848005,403824.09,548136.98,0,0
231,CASH_IN,360127.27,C1575547704,585189.16,945316.43,C585542261,2533510.96,2173383.68,0,0
250,CASH_IN,101277.8,C1549981555,2808524.18,2909801.97,C258728843,2419091.02,2317813.22,0,0
333,PAYMENT,26938.42,C258967286,45417.0,18478.58,M1853556271,0.0,0.0,0,0
232,CASH_IN,195312.48,C1373358244,1046644.13,1241956.62,C1988333854,1162787.56,967475.08,0,0
374,TRANSFER,88365.49,C1251199923,10322.0,0.0,C598301295,135655.47,224020.96,0,0
133,PAYMENT,743.39,C1172322364,9985.95,9242.57,M233703074,0.0,0.0,0,0
249,PAYMENT,3250.79,C1034466045,0.0,0.0,M577950641,0.0,0.0,0,0
33,PAYMENT,2105.85,C359723213,0.0,0.0,M169104227,0.0,0.0,0,0
402,CASH_OUT,132707.22,C605990991,27172.84,0.0,C593842568,907708.71,1040415.93,0,0
345,CASH_OUT,171512.47,C794969749,10281.86,0.0,C660212442,678623.25,850135.72,0,0
159,CASH_IN,57888.16,C1694019121,15668440.9,15726329.06,C167977253,407045.65,349157.49,0,0
206,CASH_OUT,148011.74,C1568413973,0.0,0.0,C1401339820,435441.11,583452.85,0,0
346,PAYMENT,9894.6,C1751695748,10102.0,207.4,M2035132557,0.0,0.0,0,0
354,CASH_IN,48230.18,C1659806362,6369041.47,6417271.65,C1074150004,434698.33,386468.15,0,0
203,CASH_IN,91354.76,C693866355,894898.71,986253.46,C1491921270,423779.06,332424.3,0,0
227,PAYMENT,25919.86,C1054737645,5117.0,0.0,M1318630605,0.0,0.0,0,0
327,PAYMENT,5483.94,C1676931931,10810.0,5326.06,M387279332,0.0,0.0,0,0
308,TRANSFER,678171.28,C1594897184,48048.32,0.0,C1783011955,1295154.98,1973326.26,0,0
186,CASH_OUT,173803.42,C1864595490,0.0,0.0,C1310571029,278568.65,452372.07,0,0
687,TRANSFER,115182.17,C1365541270,0.0,0.0,C186573361,453207.85,568390.02,0,0
155,TRANSFER,773450.97,C672074650,0.0,0.0,C1092318644,11544301.34,12317752.31,0,0
354,CASH_OUT,57735.68,C108422646,0.0,0.0,C1231565279,991454.45,1049190.13,0,0
134,CASH_OUT,157890.55,C505077479,50976.0,0.0,C764452613,1040383.84,1198274.39,0,0
276,PAYMENT,13284.97,C2087509519,0.0,0.0,M1903108720,0.0,0.0,0,0
380,CASH_OUT,190137.09,C1573473516,0.0,0.0,C1844841843,1071568.61,1261705.69,0,0
230,TRANSFER,445378.04,C1138932728,0.0,0.0,C1114116995,799648.8,1245026.84,0,0
131,CASH_IN,424923.69,C1837641044,4262666.82,4687590.51,C302766417,2368903.71,1943980.02,0,0
187,CASH_IN,24147.8,C1817980485,586689.48,610837.28,C1527202666,229254.43,205106.63,0,0
429,CASH_IN,311631.55,C2042540067,1909506.96,2221138.5,C1413060264,581895.99,270264.45,0,0
307,PAYMENT,16701.49,C1502842419,0.0,0.0,M966132522,0.0,0.0,0,0
379,CASH_OUT,82623.12,C1480951458,184260.0,101636.88,C1917102613,0.0,82623.12,0,0
147,PAYMENT,2601.35,C275148899,101080.0,98478.65,M375659544,0.0,0.0,0,0
212,CASH_IN,22469.53,C1042560560,3081295.49,3103765.02,C1550151756,52329.15,29859.63,0,0
18,CASH_IN,20269.34,C718409404,3665395.74,3685665.08,C1286900656,20883.0,0.0,0,0
135,PAYMENT,1304.89,C318382812,16548.0,15243.11,M749872232,0.0,0.0,0,0
17,CASH_OUT,181528.02,C970373240,99821.0,0.0,C198772837,0.0,273537.93,0,0
211,PAYMENT,1638.94,C178190271,143825.0,142186.06,M2133024293,0.0,0.0,0,0
250,PAYMENT,52452.11,C2128707548,0.0,0.0,M720745895,0.0,0.0,0,0
206,PAYMENT,4051.63,C2092894439,189333.71,185282.09,M1626934499,0.0,0.0,0,0
137,CASH_OUT,34227.91,C1215755848,35636.0,1408.09,C1796234378,0.0,1152197.76,0,0
139,TRANSFER,771181.26,C214004217,0.0,0.0,C1757052861,3757784.11,4528965.37,0,0
38,PAYMENT,21794.15,C1513910598,101539.2,79745.04,M756433986,0.0,0.0,0,0
34,PAYMENT,12600.94,C2121584377,399374.54,386773.6,M1446079748,0.0,0.0,0,0
687,CASH_OUT,217257.77,C877765734,29837.0,0.0,C1651097190,0.0,217257.77,0,0
401,CASH_IN,297944.55,C498372530,3901336.04,4199280.59,C1713765784,665504.21,367559.66,0,0
228,PAYMENT,19111.21,C95224554,0.0,0.0,M2119580075,0.0,0.0,0,0
179,CASH_IN,415730.5,C339339318,11408504.46,11824234.96,C281381904,763969.1,348238.6,0,0
153,TRANSFER,1702667.54,C552985517,0.0,0.0,C887761954,2657605.09,4360272.63,0,0
180,PAYMENT,11119.51,C2127160836,1026.0,0.0,M579638097,0.0,0.0,0,0
353,TRANSFER,703361.66,C1504138859,0.0,0.0,C766611379,1316973.19,2020334.85,0,0
160,CASH_OUT,76607.36,C509064231,0.0,0.0,C2104809432,6822040.73,6898648.09,0,0
227,CASH_OUT,212527.2,C1465073917,11097.0,0.0,C150547940,802629.3,1015156.5,0,0
33,CASH_IN,123779.04,C1878487413,581558.05,705337.09,C2108380482,394362.09,270583.06,0,0
187,CASH_OUT,117489.79,C2133776188,0.0,0.0,C315112900,3791420.79,3908910.58,0,0
38,PAYMENT,1844.27,C1693325057,11562.0,9717.73,M595283918,0.0,0.0,0,0
275,CASH_IN,233005.61,C916688790,0.0,233005.61,C576797747,0.0,0.0,0,0
331,CASH_OUT,210478.54,C523129214,202546.0,0.0,C1405866568,676913.53,887392.07,0,0
16,CASH_IN,181683.45,C1682315011,13041.0,194724.45,C1478642183,973812.9,792129.46,0,0
185,CASH_IN,287990.9,C2125668129,84295.0,372285.9,C1317161484,221233.34,0.0,0,0
163,CASH_OUT,318371.28,C1706642876,0.0,0.0,C1136169469,1151391.53,1469762.81,0,0
397,PAYMENT,4699.83,C1951646875,0.0,0.0,M1614009386,0.0,0.0,0,0
36,PAYMENT,18897.07,C284284606,174.0,0.0,M2004981350,0.0,0.0,0,0
203,CASH_OUT,357358.66,C148599366,0.0,0.0,C1993557111,942699.25,1300057.91,0,0
399,PAYMENT,23098.75,C1152636765,18457.0,0.0,M237223457,0.0,0.0,0,0
356,CASH_OUT,206925.08,C265946634,73450.0,0.0,C1707034811,0.0,206925.08,0,0
276,CASH_IN,113052.92,C196133049,458142.01,571194.93,C750652801,2679675.34,2566622.42,0,0
275,CASH_IN,168889.2,C356923838,5974.0,174863.2,C492096220,0.0,0.0,0,0
142,CASH_OUT,411282.14,C630770366,0.0,0.0,C1847411684,494611.08,905893.23,0,0
299,PAYMENT,63279.11,C1144978265,496.0,0.0,M820874627,0.0,0.0,0,0
302,PAYMENT,21072.97,C707722633,0.0,0.0,M942073356,0.0,0.0,0,0
306,PAYMENT,6566.82,C205612339,0.0,0.0,M1633904343,0.0,0.0,0,0
35,PAYMENT,9298.4,C609554064,0.0,0.0,M1574535598,0.0,0.0,0,0
229,CASH_OUT,48063.71,C65857955,0.0,0.0,C1619265599,4183602.68,4231666.39,0,0
656,CASH_OUT,277391.48,C1184662635,30231.0,0.0,C280247277,464172.06,741563.54,0,0
186,CASH_OUT,343817.49,C2094134885,10305.0,0.0,C1978432291,92919.76,526225.1,0,0
357,PAYMENT,22520.17,C631086155,100039.0,77518.83,M1794833647,0.0,0.0,0,0
351,CASH_OUT,124038.24,C1791590966,22196.0,0.0,C911081396,0.0,124038.24,0,0
40,CASH_OUT,266645.34,C457522992,0.0,0.0,C1666165754,1694699.52,1961344.85,0,0
383,CASH_IN,60080.7,C1941054912,1021.0,61101.7,C869058896,195730.17,135649.47,0,0
306,CASH_OUT,225243.14,C1868997519,0.0,0.0,C224675489,248949.63,474192.77,0,0
405,DEBIT,2449.12,C695147089,140980.0,138530.88,C1381356862,1013243.67,1015692.79,0,0
310,PAYMENT,15393.54,C524359208,10410.0,0.0,M305718618,0.0,0.0,0,0
281,PAYMENT,7396.27,C365909963,123024.03,115627.75,M52098805,0.0,0.0,0,0
311,PAYMENT,16841.27,C603526893,100669.0,83827.73,M669132592,0.0,0.0,0,0
354,CASH_OUT,80289.82,C2062580271,30907.0,0.0,C1411087521,230171.42,310461.24,0,0
206,CASH_OUT,286573.2,C1362117140,94063.0,0.0,C684404656,8754643.64,9041216.84,0,0
398,CASH_IN,192124.66,C56271129,19733251.52,19925376.19,C613349029,388981.16,196856.5,0,0
228,CASH_OUT,55660.98,C1014260901,0.0,0.0,C920844420,326895.53,382556.51,0,0
381,CASH_OUT,23131.99,C1273137462,849.0,0.0,C1192316083,0.0,23131.99,0,0
278,CASH_OUT,266737.99,C626041774,0.0,0.0,C1191652178,4323576.05,4590314.05,0,0
139,CASH_OUT,38830.37,C2037577056,50477.0,11646.63,C600795024,196048.04,234878.41,0,0
138,CASH_OUT,46209.12,C1045127051,477.0,0.0,C171137680,389062.46,435271.58,0,0
355,PAYMENT,3823.98,C1866277522,0.0,0.0,M349878518,0.0,0.0,0,0
263,CASH_OUT,28180.28,C6429167,85279.21,57098.93,C1910047574,467825.47,496005.75,0,0
280,CASH_IN,22179.24,C1752008088,55153.0,77332.24,C1454133976,2686492.37,2664313.13,0,0
8,PAYMENT,109.25,C1485352989,0.0,0.0,M1523415191,0.0,0.0,0,0
379,CASH_OUT,261167.24,C993811068,0.0,0.0,C712484890,710067.45,971234.69,0,0
279,TRANSFER,1097953.21,C1983360777,0.0,0.0,C1468098550,2019751.36,3117704.56,0,0
205,CASH_OUT,18492.31,C2127481379,43777.0,25284.69,C598488968,1828475.68,1846967.99,0,0
356,CASH_IN,63293.08,C147762709,43.0,63336.08,C509703170,8189273.04,8125979.96,0,0
325,CASH_OUT,195412.61,C929060657,0.0,0.0,C1382616464,789018.32,984430.93,0,0
644,CASH_OUT,348480.18,C1773043559,0.0,0.0,C357765190,3506719.22,3855199.4,0,0
18,PAYMENT,830.66,C311660190,38299.06,37468.4,M1176984499,0.0,0.0,0,0
260,CASH_IN,84160.61,C1216713157,7296.0,91456.61,C768528275,0.0,0.0,0,0
208,PAYMENT,9367.94,C914131776,20692.89,11324.96,M713890042,0.0,0.0,0,0
161,PAYMENT,5593.92,C1209180445,30498.9,24904.98,M418849551,0.0,0.0,0,0
394,PAYMENT,6439.36,C102480914,0.0,0.0,M975207652,0.0,0.0,0,0
354,TRANSFER,3840979.97,C139551462,0.0,0.0,C1136324849,4790138.66,8631118.62,0,0
518,CASH_OUT,87218.42,C401499360,0.0,0.0,C1521668510,497423.63,584642.05,0,0
40,TRANSFER,295074.46,C1158857202,0.0,0.0,C1093235949,9738778.38,10033852.84,0,0
257,CASH_IN,47042.57,C1776326157,6849728.87,6896771.44,C1552996224,527783.99,480741.42,0,0
398,CASH_IN,247087.01,C1596532750,21880710.31,22127797.32,C216917925,1574375.8,1327288.79,0,0
398,CASH_IN,79355.76,C1039670015,14576159.67,14655515.43,C635061362,86131.77,6776.0,0,0
43,CASH_OUT,163188.59,C1593799851,12343.2,0.0,C655455499,1399308.36,1562496.95,0,0
18,CASH_IN,227134.26,C559480853,5862283.41,6089417.67,C1726292371,364216.37,137082.12,0,0
306,CASH_IN,105931.77,C1384857404,1420348.28,1526280.04,C288318222,982730.21,876798.44,0,0
285,PAYMENT,3012.29,C886895255,11354.0,8341.71,M1642596458,0.0,0.0,0,0
182,CASH_OUT,175759.92,C488329826,0.0,0.0,C501040284,302436.85,478196.77,0,0
402,PAYMENT,6569.68,C2038708772,0.0,0.0,M938927284,0.0,0.0,0,0
236,CASH_IN,331685.04,C1202044852,1097973.97,1429659.01,C325822564,2967429.26,2635744.22,0,0
187,CASH_OUT,149920.53,C1837290946,0.0,0.0,C2106923183,175541.34,325461.87,0,0
330,CASH_IN,143114.61,C726537266,7516949.71,7660064.32,C910403625,3979435.33,3836320.72,0,0
143,PAYMENT,9102.39,C1257797754,31274.0,22171.61,M6986720,0.0,0.0,0,0
228,CASH_OUT,236253.21,C1464244676,2135.0,0.0,C1382003696,0.0,329976.66,0,0
377,CASH_OUT,338140.32,C722596019,0.0,0.0,C824329900,582698.09,920838.41,0,0
134,CASH_OUT,64554.56,C1318832890,0.0,0.0,C1507003492,686352.45,750907.02,0,0
250,CASH_IN,121107.84,C930680634,5271.0,126378.84,C655388196,0.0,0.0,0,0
188,CASH_OUT,68788.91,C529557853,32095.0,0.0,C799747672,0.0,68788.91,0,0
352,CASH_OUT,248672.65,C1268262246,126332.0,0.0,C1472311950,3417520.5,3666193.15,0,0
131,TRANSFER,717397.27,C845149416,0.0,0.0,C1441612248,1826228.78,2543626.04,0,0
379,CASH_OUT,49337.54,C88071071,31141.0,0.0,C837233205,252088.5,301426.04,0,0
334,PAYMENT,18469.97,C1299218390,0.0,0.0,M1581295233,0.0,0.0,0,0
37,PAYMENT,25501.0,C2014303530,66856.16,41355.17,M1882738693,0.0,0.0,0,0
33,CASH_OUT,304071.34,C2106091635,0.0,0.0,C2146000204,600791.09,1175216.45,0,0
397,CASH_OUT,132151.21,C839984496,0.0,0.0,C1248670328,193877.64,326028.84,0,0
370,CASH_IN,206395.6,C1984336011,10434.0,216829.6,C1379111405,623303.41,416907.8,0,0
259,PAYMENT,570.64,C441939888,128189.89,127619.25,M1559085604,0.0,0.0,0,0
162,CASH_IN,56159.88,C112062841,26696.0,82855.88,C556916993,3612127.79,3555967.91,0,0
178,PAYMENT,9842.8,C1042569555,0.0,0.0,M811143252,0.0,0.0,0,0
710,PAYMENT,38345.64,C532470336,23120.0,0.0,M529940150,0.0,0.0,0,0
8,PAYMENT,1021.21,C1323038805,112930.26,111909.04,M1610048193,0.0,0.0,0,0
283,PAYMENT,4012.9,C816798986,0.0,0.0,M1729652868,0.0,0.0,0,0
8,CASH_OUT,179491.3,C2089164972,0.0,0.0,C741431520,731077.5,910568.8,0,0
301,CASH_OUT,182370.97,C1972714982,0.0,0.0,C18435120,1616695.15,1799066.13,0,0
204,CASH_IN,93588.9,C2084341039,3656977.19,3750566.09,C701277685,337455.67,243866.76,0,0
571,CASH_IN,196798.13,C2082132562,154.0,196952.13,C277994125,0.0,0.0,0,0
235,CASH_IN,199649.51,C1960260103,1052218.57,1251868.08,C788751652,5870382.85,5670733.34,0,0
17,PAYMENT,36873.95,C1417082419,75153.0,38279.05,M710635538,0.0,0.0,0,0
139,CASH_OUT,169798.7,C1663645243,48586.0,0.0,C1257682215,100879.99,270678.69,0,0
252,CASH_OUT,19700.76,C1421111810,29223.0,9522.24,C995648535,102973.98,122674.74,0,0
251,PAYMENT,23366.71,C993306706,10350.0,0.0,M406298462,0.0,0.0,0,0
329,CASH_OUT,95998.95,C2143561669,0.0,0.0,C1748240779,1641893.03,1737891.98,0,0
310,PAYMENT,13410.42,C1186577645,0.0,0.0,M2139432865,0.0,0.0,0,0
141,CASH_OUT,185540.96,C1629231621,31356.0,0.0,C499246996,165655.04,336375.88,0,0
375,CASH_OUT,6381.35,C2102191115,669.0,0.0,C756272079,0.0,6381.35,0,0
309,CASH_IN,2983.95,C888318559,879.0,3862.95,C566623579,232612.61,229628.66,0,0
594,CASH_OUT,359461.23,C503409234,0.0,0.0,C918259408,2661958.34,3021419.57,0,0
300,CASH_IN,14907.02,C1404024691,4951513.49,4966420.51,C716134138,511928.25,497021.22,0,0
253,PAYMENT,20116.64,C32688398,17938.0,0.0,M182159925,0.0,0.0,0,0
348,CASH_OUT,7606.44,C191525970,0.0,0.0,C972327409,1422668.22,1430274.65,0,0
236,CASH_OUT,317763.09,C1746295209,0.0,0.0,C984117853,896988.12,1214751.21,0,0
121,PAYMENT,5492.54,C1084771102,29976.0,24483.46,M1722639791,0.0,0.0,0,0
355,CASH_OUT,45113.0,C670891050,84934.0,39821.0,C558767561,305850.78,350963.78,0,0
35,PAYMENT,34302.73,C432871675,523.0,0.0,M1259737091,0.0,0.0,0,0
347,CASH_IN,93364.16,C2011591569,2933767.99,3027132.15,C1946438478,1288368.29,1195004.13,0,0
161,TRANSFER,784281.76,C1676242267,0.0,0.0,C192283251,1661319.76,2445601.52,0,0
154,CASH_OUT,86308.44,C1812967525,0.0,0.0,C1783388999,182308.22,268616.66,0,0
384,CASH_IN,195263.43,C26626167,2064962.63,2260226.07,C1415413772,2827444.92,2632181.49,0,0
135,CASH_OUT,45341.48,C2140336794,0.0,0.0,C1216780628,46577.6,91919.08,0,0
397,PAYMENT,13665.38,C1510622605,0.0,0.0,M1304933382,0.0,0.0,0,0
403,PAYMENT,6415.47,C1619559911,0.0,0.0,M1509009232,0.0,0.0,0,0
182,CASH_IN,85549.49,C1129853137,64481.0,150030.49,C1805828716,0.0,0.0,0,0
203,CASH_IN,84658.19,C586396978,1054972.15,1139630.34,C1133499113,369641.53,284983.34,0,0
404,CASH_OUT,58129.18,C486347111,0.0,0.0,C324067441,1385294.85,1443424.03,0,0
335,PAYMENT,2179.46,C1048146646,11784.0,9604.54,M1512021337,0.0,0.0,0,0
395,PAYMENT,2632.11,C86299821,51817.0,49184.89,M1308639256,0.0,0.0,0,0
378,PAYMENT,26239.63,C651383013,23309.52,0.0,M1933092446,0.0,0.0,0,0
398,CASH_OUT,338253.35,C321193425,0.0,0.0,C822408835,2134208.34,2472461.69,0,0
546,CASH_OUT,363066.0,C631697922,0.0,0.0,C2122837191,587156.1,950222.1,0,0
276,CASH_OUT,172184.6,C1194158966,51649.0,0.0,C864789268,1725.82,173910.42,0,0
402,CASH_OUT,195651.49,C623645169,6541.0,0.0,C962356303,0.0,195651.49,0,0
282,TRANSFER,203888.74,C710486859,0.0,0.0,C308027009,450711.87,537256.26,0,0
379,CASH_OUT,6360.81,C334926162,0.0,0.0,C743859259,1527382.51,1533743.32,0,0
11,PAYMENT,20663.29,C1524309206,174556.89,153893.6,M1847083925,0.0,0.0,0,0
408,TRANSFER,88554.55,C1733335944,0.0,0.0,C1824415302,191419.26,397473.36,0,0
302,TRANSFER,949582.55,C249621047,10421.0,0.0,C647311524,0.0,1161314.46,0,0
253,CASH_IN,105850.97,C1918863167,4725389.4,4831240.37,C614623696,138870.17,33019.2,0,0
143,PAYMENT,5851.5,C1541587956,20337.0,14485.5,M2013908006,0.0,0.0,0,0
359,CASH_OUT,215613.8,C92325442,0.0,0.0,C42506735,640905.57,856519.37,0,0
16,CASH_IN,38521.06,C290261558,165212.43,203733.49,C856295815,1035392.82,839841.51,0,0
548,CASH_IN,15138.4,C369048363,11672.0,26810.4,C1402945462,467299.8,452161.41,0,0
38,CASH_OUT,240788.23,C1380038922,688.0,0.0,C1283778464,625669.54,866457.77,0,0
644,CASH_IN,128116.37,C1628180769,6514642.19,6642758.56,C209796122,346500.38,218384.01,0,0
401,PAYMENT,37760.57,C1900690734,0.0,0.0,M1552951818,0.0,0.0,0,0
119,PAYMENT,2247.29,C1235072118,10743.0,8495.71,M1129040256,0.0,0.0,0,0
401,TRANSFER,453693.41,C226765127,20401.0,0.0,C1375773985,473856.99,927550.4,0,0
234,TRANSFER,644054.04,C2069736248,19889.0,0.0,C668256195,171275.53,1243280.43,0,0
201,PAYMENT,11163.61,C1282373714,40554.0,29390.39,M1127427768,0.0,0.0,0,0
205,CASH_OUT,101136.08,C139683295,105251.0,4114.92,C1942522721,0.0,101136.08,0,0
226,PAYMENT,3687.6,C548802280,0.0,0.0,M454269782,0.0,0.0,0,0
20,PAYMENT,3285.7,C1663521311,0.0,0.0,M321216095,0.0,0.0,0,0
331,PAYMENT,964.49,C2110868041,8053.97,7089.48,M432139041,0.0,0.0,0,0
232,CASH_OUT,218781.02,C1612847529,0.0,0.0,C166182518,965457.28,1184238.3,0,0
211,CASH_OUT,126071.6,C2090624178,107403.0,0.0,C1474544768,926437.52,1052509.12,0,0
378,CASH_OUT,106694.71,C39700337,0.0,0.0,C1142609603,150701.53,257396.25,0,0
302,PAYMENT,9085.18,C886222530,30795.0,21709.82,M1907331665,0.0,0.0,0,0
129,CASH_OUT,132873.46,C841652185,0.0,0.0,C1162672910,301256.59,434130.05,0,0
348,CASH_IN,242175.55,C269421819,2847.0,245022.55,C1608325423,1113818.45,871642.9,0,0
381,CASH_OUT,99249.45,C1062496713,0.0,0.0,C420854303,5058723.43,5157972.87,0,0
183,PAYMENT,12893.99,C581867394,0.0,0.0,M1407300660,0.0,0.0,0,0
